ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Mahmut Aksoy,Ankara,15.06.1983,42,Ankara Yenimahalle İlkokulu,1989-1994,Ankara Atatürk Lisesi,1994-2001,Bilkent Üniversitesi,2001-2005,İşletme,Boğaziçi Üniversitesi,2005-2008,,None,"['Unilever Türkiye', 'Arçelik', 'Turkcell', 'Aksoy Danışmanlık']","['2005-2008', '2008-2016', '2016-2021', '2021-devam ediyor']",['Aksoy Danışmanlık'],['2021'],İstanbul,"['amatör fotoğrafçılık', 'eski Türk filmleri koleksiyonculuğu', 'bisiklet sürmek']",Elif Demirağ,"['Aslı', 'Can']","['Yeni Nesil Tüketici Davranışlarında Dijital Pazarlama Stratejilerinin Rolü', 'Yapay Zeka Destekli Pazarlamada Etik Yaklaşımlar']","['2008', '2022']",mahmut_aksoy.md,1989,1994,1994,2001,2001,2005,2005,2008,None,,['2005,"2008', '2008-2016', '2016-2021', '2021-devam ediyor']"
Mahmut Karaca,Gaziantep,15.07.1983,42,Özel Sanko İlköğretim Okulu,1989-1997,Gaziantep Anadolu Lisesi,1997-2001,Mimar Sinan Güzel Sanatlar Üniversitesi,2001-2005,Şehir ve Bölge Planlama Bölümü,Yıldız Teknik Üniversitesi,2006-2008,,None,"['Arkas Mimarlık ve Planlama', 'İstanbul Büyükşehir Belediyesi', 'Şehir Vizyon Danışmanlık A.Ş.']","['2008-2012', '2012-2018', '2018-devam ediyor']",['Şehir Vizyon Danışmanlık A.Ş.'],['2018'],İstanbul,"['fotoğraf çekmek', 'doğa yürüyüşleri yapmak', 'eski haritalar ve şehir planları toplamak']",Zeynep Karaca,"['Deniz', 'Cem']","['Sürdürülebilir Kentsel Dönüşümde Yerel Yönetimlerin Rolü', 'Tarihi Dokunun Korunmasında Mekansal Stratejiler: Bir Analiz']","['2015', '2019']",mahmut_karaca.md,1989,1997,1997,2001,2001,2005,2006,2008,None,,['2008,"2012', '2012-2018', '2018-devam ediyor']"
Melek Aksoy,Ankara,20.07.1988,37,Çankaya Mehmetçik İlkokulu,1994-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Siyaset Bilimi ve Kamu Yönetimi,Boğaziçi Üniversitesi,2012-2014,,None,"['Bilkent Üniversitesi İletişim Fakültesi', 'Medya Atölyesi', 'Türk Telekom A.Ş.', 'Gerçek Gözüyle Prodüksiyon']","['2011-2012', '2014-2015', '2015-2018', '2018-devam ediyor']","['Gerçek Gözüyle Prodüksiyon', 'Genç Belgeselciler Platformu']","['2018', '2020']",İstanbul,"['doğa yürüyüşleri yapmak', 'analog fotoğrafçılıkla ilgilenmek', 'dünya mutfaklarından yeni lezzetler denemek', 'bağımsız sinema salonlarında farklı filmler keşfetmek', 'Galatasaray maçlarına gitmek']",Caner Demir,"['Ada', 'Deniz']","['Dijital Çağda Belgesel Sinemanın Toplumsal Etkisi: Türkiye Örneği', 'Göçmen Kadınların Medya Temsili Üzerine Nitel Bir Çalışma']","['2015', '2014']",melek_aksoy.md,1994,2002,2002,2006,2007,2011,2012,2014,None,,['2011,"2012', '2014-2015', '2015-2018', '2018-devam ediyor']"
Melek Eren,Bursa,18.07.1989,35,Necatibey İlkokulu,1995-2000,Bursa Ahmet Hamdi Tanpınar Anadolu Lisesi,2003-2007,Boğaziçi Üniversitesi,2008-2012,Sanat Yönetimi ve İletişim Bölümü,Koç Üniversitesi,2013-2015,,None,"['Pera Müzesi', 'İstanbul Modern', 'Freelance Sanat Danışmanı', 'Sanat Köprüsü Derneği']","['2012-2013', '2015-2019', '2019-2021', '2021-devam ediyor']",['Sanat Köprüsü Derneği'],['2021'],İstanbul,"['analog fotoğrafçılık', 'doğa yürüyüşleri', 'trekking', 'piyano çalmak', 'kültürel miras gezileri']",Emre Doğan,"['Ada', 'Can']","[""Kentsel Dönüşümün İstanbul'un Tarihi Dokusu Üzerindeki Etkileri ve Kültürel Mirasın Korunması"", ""Dijital Sanat Platformlarının Türkiye'deki Genç Sanatçılar Üzerindeki Etkileri""]","['2015', '2020']",melek_eren.md,1995,2000,2003,2007,2008,2012,2013,2015,None,,['2012,"2013', '2015-2019', '2019-2021', '2021-devam ediyor']"
Melek Ermiş,Kayseri,15.08.1985,40,Kayseri Hürriyet İlkokulu,1991-1998,Kayseri Fen Lisesi,1998-2002,Orta Doğu Teknik Üniversitesi,2004-2008,Endüstri Mühendisliği,Bilkent Üniversitesi,2008-2010,,None,"['Yapı Kredi Bankası', 'ING Bank Türkiye', 'Microsoft Türkiye']","['2010-2014', '2014-2018', '2018-devam ediyor']",[],[],İstanbul,"['yoga yapmak', 'klasik Türk sanat müziği dinlemek', 'Uzak Doğu mutfağından yeni tarifler denemek', 'doğa yürüyüşleri yapmak', 'dijital illüstrasyonlar çizmek']",Emre Demirci,"['Defne Demirci', 'Can Demirci']",['Predictive Models for Credit Risk Assessment Using Ensemble Learning'],['2016'],melek_ermis.md,1991,1998,1998,2002,2004,2008,2008,2010,None,,['2010,"2014', '2014-2018', '2018-devam ediyor']"
Melek Yılmaz,Adana,20.03.1989,36,İsmet İnönü İlkokulu,1995-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,İstatistik,Boğaziçi Üniversitesi,2013-2015,,None,"['Accenture Türkiye', 'Koç Holding', 'Trendyol', 'PixelPath Dijital Ajansı']","['2011-2013', '2013-2017', '2017-2021', '2021-devam ediyor']",['PixelPath Dijital Ajansı'],['2021'],İstanbul,"['Sokak fotoğrafçılığı', 'botanik bahçeleri gezmek', 'farklı bitki türlerini keşfetmek', 'senaryo yazımı']",Can Ateş,"['Lara', 'Demir']","[""Yapay Zeka Destekli Pazarlama Stratejilerinin KOBİ'ler Üzerindeki Etkileri""]",['2015'],melek_yilmaz.md,1995,2002,2002,2006,2007,2011,2013,2015,None,,['2011,"2013', '2013-2017', '2017-2021', '2021-devam ediyor']"
Melis Demir,Adana,15.08.1988,37,Mehmet Akif Ersoy İlköğretim Okulu,1994-2000,Ankara Fen Lisesi,2002-2006,Boğaziçi Üniversitesi,2008-2012,Sanat Tarihi,İstanbul Teknik Üniversitesi (İTÜ),2012-2014,,None,"['İstanbul Modern Sanat Müzesi', 'Sanat Unlimited Dergisi', 'Garanti BBVA', 'Bağımsız Küratör ve Sanat Danışmanı', 'SALT Araştırma']","['2014-2016', '2016-2017', '2017-2020', '2020-2022', '2022-devam ediyor']",['Sanatla İç İçe'],['2021'],İstanbul,"['Klasik müzik dinlemek', 'Seramik atölyelerine katılmak', 'Doğa yürüyüşleri yapmak', 'Eski kitapları koleksiyonlamak', '20. yüzyıl başı edebiyatına ilgi duymak']",Can Demir,"['Defne', 'Emre']","['Dijital Sanatın Kürasyon Pratiklerine Etkisi', 'Müze Deneyiminde Yeni Yönelimler: Katılımcı Sanat Projeleri Üzerine Bir İnceleme']","['2019', '2021']",melis_demir.md,1994,2000,2002,2006,2008,2012,2012,2014,None,,['2014,"2016', '2016-2017', '2017-2020', '2020-2022', '2022-devam ediyor']"
Meltem Altun,İzmir,15.08.1986,39,İzmir Mithatpaşa İlköğretim Okulu,1993-2000,İzmir Atatürk Lisesi,2000-2004,Boğaziçi Üniversitesi,2004-2008,İşletme,Koç Üniversitesi,2010-2012,,None,"['P&G Türkiye', 'Migros Türk', 'Garanti BBVA', 'Emlakjet']","['2008-2011', '2011-2016', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['yoga', 'şehir keşifleri', 'amatör fotoğrafçılık', 'bağımsız filmler izleme', 'seyahat etmek']",Can Demir,['Defne'],['Dijital Çağda Tüketici Davranışlarının Marka Sadakati Üzerindeki Etkileri'],['2012'],meltem_altun.md,1993,2000,2000,2004,2004,2008,2010,2012,None,,['2008,"2011', '2011-2016', '2017-2020', '2020-devam ediyor']"
Meltem Eren,İzmir,15.06.1989,36,Karşıyaka Cumhuriyet İlkokulu,1995-2000,İzmir Bornova Anadolu Lisesi,2000-2007,Boğaziçi Üniversitesi,2007-2011,Tarih Bölümü,İstanbul Üniversitesi,2012-2014,,None,"['Pera Müzesi', 'İstanbul Modern Sanat Müzesi', 'T.C. Kültür ve Turizm Bakanlığı Müzeler Genel Müdürlüğü']","['2014-2016', '2016-2019', '2019-devam ediyor']","[""Anadolu'nun Sesleri""]",[],İstanbul,"['kaligrafi', 'antika pazarlarını gezmek', 'eski şehirleri keşfetmek', 'tarihi roman okumak', 'arkeolojik alanları ziyaret etmek']",Demir Yılmaz,"['Defne', 'Can']","['Dijital Çağda Müze Deneyimi: Türkiye Örneği', ""Anadolu'nun Kayıp Mirasları ve Koruma Çalışmaları: Gelecek Nesillere Aktarım Stratejileri""]","['2018', '2022']",meltem_eren.md,1995,2000,2000,2007,2007,2011,2012,2014,None,,['2014,"2016', '2016-2019', '2019-devam ediyor']"
Meltem Karaca,Antalya,15.07.1988,37,Atatürk İlkokulu,1994-2000,Antalya Koleji,2000-2006,Ege Üniversitesi,2006-2010,Halkla İlişkiler ve Tanıtım,Galatasaray Üniversitesi,2010-2012,,None,"['Publicis Yorum Reklam Ajansı', 'Anadolu Grubu', 'Hepsiburada', 'Ecovolt Teknoloji A.Ş.']","['2012-2013', '2013-2017', '2017-2021', '2021-devam ediyor']",[],[],İstanbul,"['yoga', 'seramik sanatı', 'belgesel izlemek']",Onur Demir,['Elif'],"['Dijital Platformlarda Sürdürülebilirlik İletişiminin Tüketici Algısı Üzerindeki Etkisi', 'Kurumsal Sürdürülebilirlik Raporlamasında Yeni Trendler ve İletişim Stratejileri']","['2012', '2016']",meltem_karaca.md,1994,2000,2000,2006,2006,2010,2010,2012,None,,['2012,"2013', '2013-2017', '2017-2021', '2021-devam ediyor']"
Mert Çakır,İstanbul,07.03.1989,36,Bahçelievler Deneme İlkokulu,1995-2000,Pertevniyal Lisesi,2000-2007,Boğaziçi Üniversitesi,2007-2011,İşletme Bölümü,London School of Economics and Political Science (LSE),2012-2013,,None,"['Unilever Türkiye', 'Turkcell', 'Hype Marketing Ajansı']","['2011-2012', '2013-2016', '2016-devam ediyor']",['Hype Marketing'],['2016'],İstanbul,"['amatör fotoğrafçılık', 'uzak doğu mutfağını keşfetmek', 'oyun geliştirme']",Aslı,"['Ada', 'Can']",[],[],mert_cakir.md,1995,2000,2000,2007,2007,2011,2012,2013,None,,['2011,"2012', '2013-2016', '2016-devam ediyor']"
Mert Öztürk,Kayseri,15.06.1988,37,Melikgazi İlkokulu,1994-2000,Kayseri Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi,2004-2008,Bilgisayar Mühendisliği,Hacettepe Üniversitesi,2009-2011,,None,"['Vadi Teknoloji', 'Netaş', 'Garanti BBVA', 'Yemeksepeti', 'Getir']","['2008-2009', '2011-2014', '2017-2021', '2021-2022', '2022-devam ediyor']",[],[],İstanbul,"['Dağcılık', 'amatör fotoğrafçılık', 'bilim kurgu romanları okumak', 'drone uçurmak']",Elif Öztürk,"['Defne', 'Can']","['Büyük Veri Analitiğinde Derin Öğrenme Modellerinin Uygulanması', 'Makine Öğrenimi ile Finansal Dolandırıcılık Tespiti: Bir Vaka Çalışması']","['2011', '2018']",mert_ozturk.md,1994,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2011-2014', '2017-2021', '2021-2022', '2022-devam ediyor']"
Mert Türkmen,Eskişehir,15.08.1985,40,Orhangazi İlkokulu,1991-1996,Eskişehir Anadolu Lisesi,1996-2003,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2011-2013,Boğaziçi Üniversitesi,2013-2017,"['SAP Türkiye', 'Microsoft Türkiye', 'Turkcell', 'Bağımsız']","['2011-2013', '2013-2018', '2018-2022', '2022-devam ediyor']",['Teknolojiyle Gelecek Derneği'],['2019'],İstanbul,"['ahşap oyma', 'drone fotoğrafçılığı', 'klasik müzik dinlemek', 'bilim kurgu romanları okumak', 'doğa yürüyüşleri', 'tarihi mekanları ziyaret etmek']",Zeynep Karaca,"['Ada', 'Can']","['Deep Learning Architectures for Predictive Maintenance in Industrial Systems', 'Ethical Considerations in AI-Powered Decision Making for Urban Transportation', 'AI-Driven Personalization in Telecommunication Services: A Case Study']","['2016', '2017', '2020']",mert_turkmen.md,1991,1996,1996,2003,2007,2011,2011,2013,2013,2017,['2011,"2013', '2013-2018', '2018-2022', '2022-devam ediyor']"
Meryem Ergin,Bursa,05.08.1989,36,Bursa Ata İlkokulu,1996-2003,Bursa Anadolu Lisesi,2003-2007,Marmara Üniversitesi,2007-2011,Halkla İlişkiler ve Tanıtım,Boğaziçi Üniversitesi,2012-2014,,None,"['LC Waikiki', 'Yemeksepeti', 'Getir']","['2011-2014', '2014-2018', '2019-devam ediyor']",['Yeşil Ambalaj Hareketi İnisiyatifi'],['2020'],İstanbul,"['yoga', 'sürdürülebilir yaşam projeleri', 'sıfır atık', 'bağımsız Türk filmleri izlemek', 'balkon bahçesinde bitki yetiştirmek']",Emre Ergin,"['Deniz Ergin', 'Ada Ergin']","['Mobil Pazarlama Uygulamalarında Kullanıcı Deneyiminin Marka Bağlılığı Üzerindeki Etkisi', 'Büyük Veri Analitiğinin Pazarlama Kararlarındaki Rolü ve Uygulamaları']","['2015', '2014']",meryem_ergin.md,1996,2003,2003,2007,2007,2011,2012,2014,None,,['2011,"2014', '2014-2018', '2019-devam ediyor']"
Meryem Tan,Ankara,15.08.1989,36,Ankara Kurtuluş İlköğretim Okulu,1995-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,İletişim Bölümü,Boğaziçi Üniversitesi,2012-2014,,None,"['Çeşitli bağımsız prodüksiyon şirketleri', 'Vizyon Medya', 'Garanti BBVA', 'TRT Belgesel Kanalı', 'Gerçek Mercek Belgesel Yapım']","['2011-2012', '2014-2017', '2017-2020', '2020-2023', '2023-devam ediyor']",['Gerçek Mercek Belgesel Yapım'],['2023'],İstanbul,"['dağ yürüyüşleri yapmak', 'fotoğraf çekmek', ""eski Türk filmlerinin orijinal afişlerini ve nadir DVD'lerini koleksiyonlamak"", 'farklı yörelerin yemeklerini deneyimlemek', 'seyahat etmek']",Emre Erdem,['Deniz'],"[""Türkiye'de Post-Truth Çağında Belgesel Haberciliğin Rolü ve Etik Sınırları""]",['2014'],meryem_tan.md,1995,2002,2002,2006,2007,2011,2012,2014,None,,['2011,"2012', '2014-2017', '2017-2020', '2020-2023', '2023-devam ediyor']"
Nazan Kaplan,Adana,15.07.1987,38,Adana Çukurova İlkokulu,1993-1998,Adana Süleyman Demirel Anadolu Lisesi,1998-2005,İstanbul Teknik Üniversitesi (İTÜ),2005-2009,Mimarlık Bölümü,Ege Üniversitesi,2010-2012,,None,"['Serbest Mimar', 'Rönesans Holding', 'Arkitekt Mimarlık', 'İzmir Büyükşehir Belediyesi', 'Kentsel Dokunuşlar Mimarlık ve Danışmanlık Ofisi']","['2009-2010', '2012-2015', '2015-2018', '2018-2021', '2021-devam ediyor']",['Kentsel Dokunuşlar Mimarlık ve Danışmanlık Ofisi'],['2021'],İzmir,"['su altı fotoğrafçılığı', 'seramik sanatı', 'eski şehir dokularını keşfetmek', 'yapıların eskizlerini çizmek']",Yiğit Kaplan,"['Defne', 'Can']","[""İzmir Tarihi Liman Bölgesi'nin Kentsel Dönüşüm Potansiyeli ve Koruma Yaklaşımları Üzerine Bir İnceleme"", 'Sürdürülebilir Kentsel Gelişimde Yeşil Çatılar ve Dikey Bahçeler: İzmir Örneği']","['2012', '2019']",nazan_kaplan.md,1993,1998,1998,2005,2005,2009,2010,2012,None,,['2009,"2010', '2012-2015', '2015-2018', '2018-2021', '2021-devam ediyor']"
Nazan Kaya,Eskişehir,15.08.1983,42,Eskişehir Vali Münir Raif Güney İlkokulu,1990-1994,Eskişehir Fatih Anadolu Lisesi,1998-2002,Anadolu Üniversitesi,2002-2006,Sanat Tarihi ve Arkeoloji,Boğaziçi Üniversitesi,2008-2010,,None,"['Eskişehir Arkeoloji Müzesi', 'Yapı Kredi Kültür Sanat', 'Pera Müzesi', 'Sakıp Sabancı Müzesi']","['2007-2010', '2010-2014', '2014-2019', '2019-devam ediyor']",['Kültür için Diyalog'],[],İstanbul,"['antika objeler toplamak', 'eski Türk sineması araştırmaları', 'fotoğrafçılık', 'şehir dışı gezileri']",Can Yılmaz,"['Aslı Yılmaz', 'Emre Yılmaz']","['Anadolu Medeniyetleri Müzelerinde Dijital Dönüşümün Potansiyeli', 'Geç Osmanlı Dönemi El Sanatları ve Sanatsal Mirasın Korunması Üzerine Bir İnceleme', 'Müzelerin Geleceği: Koleksiyon Yönetiminde Yapay Zeka Uygulamaları']","['2011', '2016', '2021']",nazan_kaya.md,1990,1994,1998,2002,2002,2006,2008,2010,None,,['2007,"2010', '2010-2014', '2014-2019', '2019-devam ediyor']"
Nazan Türkmen,İzmir,12.05.1987,38,İzmir Özel Türk İlköğretim Okulu,1993-2001,İzmir Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Bilgisayar Mühendisliği,Koç Üniversitesi,2008-2010,,None,"['Pozitron', 'Garanti Teknoloji', 'Türk Telekom', 'Insider']","['2010-2013', '2013-2015', '2015-2018', '2018-devam ediyor']",[],[],İstanbul,"['dağcılık', 'uzun doğa yürüyüşleri', 'dijital fotoğrafçılık', 'seyahat etmek', 'bilim kurgu ve fantezi romanları okumak', 'kişisel kodlama projeleri üzerinde çalışmak']",Can Yılmaz,['Elif'],['Akıllı Cihazlarda Kullanıcı Deneyimi Optimizasyonu Üzerine Bir Araştırma: Sezgisel Arayüz Tasarımının Kullanıcı Adaptasyonuna Etkisi'],['2010'],nazan_turkmen.md,1993,2001,2000,2004,2004,2008,2008,2010,None,,['2010,"2013', '2013-2015', '2015-2018', '2018-devam ediyor']"
Necati Aslan,Mersin,15.03.1989,36,Mersin Toroslar İlkokulu,1995-2000,Mersin Mehmet Adnan Özçelik Anadolu Lisesi,2003-2007,Orta Doğu Teknik Üniversitesi,2007-2011,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2011-2013,,None,"['ASELSAN', 'Microsoft Türkiye']","['2011-2014', '2014-2019']",['DeepSense AI'],['2019'],İstanbul,"['amatör astronomi', 'drone fotoğrafçılığı', 'geleneksel Türk okçuluğu', 'doğa yürüyüşleri', 'yeni yerler keşfetmek']",Elif,"['Zeynep', 'Can']","['Konuşma Tanımada Derin Öğrenme Modellerinin Performans Analizi', 'Feature Importance Analysis for Predictive Maintenance in Industrial IoT Systems using Machine Learning', 'Ethical Considerations in Autonomous Decision-Making Systems: A Case Study on Transportation']","['2013', '2016', '2018']",necati_aslan.md,1995,2000,2003,2007,2007,2011,2011,2013,None,,['2011,"2014', '2014-2019']"
Necati Baran,Adana,15.06.1989,36,Adana Ahmet Karabucak İlköğretim Okulu,1995-2003,Adana Anadolu Lisesi,2003-2007,Gazi Üniversitesi,2007-2012,Mimarlık Bölümü,Gazi Üniversitesi,2012-2014,,None,"['EKA Mimarlık ve Danışmanlık A.Ş.', 'Emlak Konut GYO', 'Kentsel Vizyon Danışmanlık A.Ş.']","['2014-2017', '2017-2021', '2021-devam ediyor']","['Kentsel Vizyon Danışmanlık A.Ş.', 'Genç Mimarlar Platformu']","['2021', '2020']",Ankara,"['şehir ve sokak fotoğrafçılığı', 'uzun bisiklet turları yapmak', 'yerel pazarları gezmek', 'Türk kahvesi demlemek', 'farklı yöresel kahveleri denemek']",Ece Baran,"['Ada Baran', 'Can Baran']","['Sürdürülebilir Kent Kimliği Oluşturmada Kültürel Mirasın Rolü: Adana Örneği', 'Katılımcı Kent Planlama Süreçlerinde Dijital Araçların Kullanımı']","['2014', '2019']",necati_baran.md,1995,2003,2003,2007,2007,2012,2012,2014,None,,['2014,"2017', '2017-2021', '2021-devam ediyor']"
Necati Öztürk,Ankara,15.08.1985,40,Ankara Çankaya İlkokulu,1991-1996,Ankara Atatürk Lisesi,1996-2000,Boğaziçi Üniversitesi,2003-2007,İşletme Bölümü,Koç Üniversitesi,2009-2011,,None,"['Yapı Kredi Bankası', 'Yapı Kredi Bankası', 'Garanti BBVA', 'QNB Finansbank']","['2007-2009', '2011-2017', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['satranç', 'dağcılık', 'trekking', 'klasik müzik dinlemek']",Ayşe Öztürk,"['Mert Öztürk', 'Elif Öztürk']","[""Türkiye'de KOBİ'lerin Finansmana Erişimi ve Yeni Modeller"", 'Sürdürülebilir Finansman Uygulamalarının Kurumsal Risk Yönetimine Etkileri']","['2018', '2022']",necati_ozturk.md,1991,1996,1996,2000,2003,2007,2009,2011,None,,['2007,"2009', '2011-2017', '2017-2020', '2020-devam ediyor']"
Necla Güneş,Kayseri,15.08.1986,39,Erciyes İlkokulu,1993-2000,Kayseri Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Mimarlık Bölümü,İstanbul Teknik Üniversitesi (İTÜ),2008-2010,,None,"['Proyap Mimarlık', 'Emlak Konut GYO', 'İstanbul Büyükşehir Belediyesi (İBB) Kentsel Dönüşüm Daire Başkanlığı', 'UrbaniX Consult']","['2008-2008', '2010-2015', '2015-2020', '2020-devam ediyor']","['UrbaniX Consult', 'Sürdürülebilir Kentler Platformu']","['2020', '2021']",İstanbul,"['Tarihi yapıları gezmek', 'Tarihi yapıları fotoğraflamak', ""Anadolu'nun unutulmaya yüz tutmuş kentlerini keşfetmek"", 'Bisiklete binmek', 'Geleneksel Türk el sanatları', 'Belgesel izlemek', 'Kentsel gelişim üzerine kitap okumak']",Can Yılmaz,"['Ela Yılmaz', 'Alp Yılmaz']","[""Türkiye'de Kentsel Dönüşüm Projelerinde Katılımcılık Modelleri Üzerine Bir Araştırma"", 'Sürdürülebilir Kentler İçin Yeşil Altyapı Çözümleri: İstanbul Örneği']","['2018', '2022']",necla_gunes.md,1993,2000,2000,2004,2004,2008,2008,2010,None,,['2008,"2008', '2010-2015', '2015-2020', '2020-devam ediyor']"
Nefise Aksoy,Antalya,12.07.1985,40,Necatibey İlkokulu,1991-1996,Antalya Anadolu Lisesi,1996-2003,Orta Doğu Teknik Üniversitesi (ODTÜ),2003-2007,Şehir ve Bölge Planlama,Mimar Sinan Güzel Sanatlar Üniversitesi,2008-2010,İstanbul Üniversitesi,2011-2015,"['İstanbul Büyükşehir Belediyesi Kentsel Planlama Müdürlüğü', 'UrbanProje Danışmanlık', 'Marmara Araştırma Merkezi (MAM) Çevre ve Şehircilik Enstitüsü', 'İstanbul Medeniyet Üniversitesi Mimarlık ve Tasarım Fakültesi']","['2007-2008', '2010-2011', '2015-2018', '2018-devam ediyor']",['Kent Çalışmaları Derneği'],['2017'],İstanbul,"['doğa yürüyüşleri', 'amatör fotoğrafçılık', 'seramik sanatı', 'eski haritaları toplama']",Can Yılmaz,"['Defne', 'Efe']","[""İstanbul'un Tarihi Yarımadası'nda Kentsel Dönüşümün Sosyo-Mekansal Etkileri"", 'Akıllı Şehir Yaklaşımlarında Vatandaş Katılımı: Bir Literatür Taraması', 'Kentsel Yeşil Alanların İklim Dirençliliğine Katkısı: Bursa Örneği', 'Pandemi Sonrası Kentler: Mekansal Dönüşüm ve Yaşam Kalitesi Algısı']","['2014', '2017', '2020', '2022']",nefise_aksoy.md,1991,1996,1996,2003,2003,2007,2008,2010,2011,2015,['2007,"2008', '2010-2011', '2015-2018', '2018-devam ediyor']"
Nefise Aydın,Ankara,15.08.1989,36,Çankaya İlkokulu,1995-2000,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Şehir ve Bölge Planlama Bölümü,Delft Teknoloji Üniversitesi (TU Delft),2011-2013,,None,"['Ankara Büyükşehir Belediyesi, Kent Planlama Dairesi', 'Koç Holding, Gayrimenkul Geliştirme Departmanı', 'İstanbul Büyükşehir Belediyesi, Kentsel Dönüşüm Müdürlüğü', 'Şehirde Nefes Danışmanlık']","['2013', '2013-2017', '2017-2021', '2021-devam ediyor']",['Şehirde Nefes Danışmanlık'],['2021'],İstanbul,"['kent bisikletçiliği', ""Türkiye'deki botanik bahçelerini ziyaret etmek"", 'eski şehir haritalarını ve atlaslarını incelemek', 'seramik sanatı']",Caner Yılmaz,"['Efe Yılmaz', 'Lara Yılmaz']","[""Ankara'da Yeşil Koridor Potansiyelleri Üzerine Bir Araştırma."", 'Topluluk Katılımlı Kentsel Yenileme Modelleri: İstanbul Örneği.', 'Sürdürülebilir Kent İçi Ulaşım Sistemlerinin Entegrasyonu: Avrupa Başkentleri Üzerine Karşılaştırmalı Bir Analiz.']","['2012', '2019', '2020']",nefise_aydin.md,1995,2000,2002,2006,2007,2011,2011,2013,None,,"['2013', '2013","2017', '2017-2021', '2021-devam ediyor']"
Neşe Demir,Antalya,15.06.1988,37,Konyaaltı İlkokulu,1994-1999,Antalya Lisesi,2002-2006,Boğaziçi Üniversitesi,2008-2012,İşletme,Koç Üniversitesi,2014-2016,,None,"['Procter & Gamble (P&G) Türkiye', 'Hepsiburada', 'Garanti BBVA', 'Getir']","['2012-2014', '2014-2017', '2017-2020', '2020-devam ediyor']",[],[],İstanbul,"['kitap okumak', 'doğa yürüyüşleri', 'fotoğrafçılık', 'organik ürünler yetiştirmek', 'analog fotoğrafçılık', 'podcast yayını yapmak']",Caner Demir,"['Ada', 'Efe']",['Finans Sektöründe Dijital Müşteri Deneyimi Tasarımının Marka Sadakati Üzerindeki Etkisi'],['2016'],nese_demir.md,1994,1999,2002,2006,2008,2012,2014,2016,None,,['2012,"2014', '2014-2017', '2017-2020', '2020-devam ediyor']"
Nihat Keskin,Trabzon,05.07.1982,43,Yavuz Selim İlkokulu,1988-1993,Trabzon Erdoğdu Anadolu Lisesi,1996-2000,Marmara Üniversitesi,2000-2004,İşletme Enformatiği,Bilgi Üniversitesi,2006-2008,,None,"['Turkcell', 'Unilever Türkiye', 'Trendyol']","['2004-2007', '2007-2012', '2012-devam ediyor']","['Dijital Pusula', 'Genç Pazarlamacılar Derneği']","['2010', '2015']",İstanbul,"['sokak fotoğrafçılığı', 'doğa yürüyüşleri', 'plak koleksiyonu dinlemek']",Ayşe Keskin,"['Defne Keskin', 'Emre Keskin']",[],[],nihat_keskin.md,1988,1993,1996,2000,2000,2004,2006,2008,None,,['2004,"2007', '2007-2012', '2012-devam ediyor']"
